age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
39,434,77516,668,381,1341,508,850,14,2174,0,40,253
50,575,83311,668,807,445,862,850,14,0,0,13,253
38,25,215646,820,1932,769,508,850,14,0,0,40,253
53,25,234721,2324,807,769,862,1381,14,0,0,40,253
28,25,338409,668,807,31,484,1381,521,0,0,40,152
37,25,284582,702,807,445,484,850,521,0,0,40,253
49,25,160187,539,190,340,508,1381,521,0,0,16,1547
52,575,209642,820,807,445,862,850,14,0,0,45,253
31,25,45781,702,381,31,508,850,521,14084,0,50,253
42,25,159449,668,807,445,862,850,14,5178,0,40,253
37,25,280464,2361,807,445,862,1381,14,0,0,80,253
30,434,141297,668,807,31,862,338,14,0,0,40,1096
23,25,122272,668,381,1341,846,850,521,0,0,30,253
32,25,205019,1915,381,636,508,1381,14,0,0,50,253
40,25,121772,1135,807,734,862,338,14,0,0,40,2334
34,25,245487,1150,807,1239,862,653,14,0,0,45,1565
25,575,176756,820,381,428,846,850,14,0,0,35,253
32,25,186824,820,381,393,837,850,14,0,0,40,253
38,25,28887,2324,807,636,862,850,14,0,0,50,253
43,575,292175,702,1932,445,837,850,521,0,0,45,253
40,25,193524,19,807,31,862,850,14,0,0,60,253
54,25,302146,820,1597,340,837,1381,521,0,0,20,253
35,625,76845,539,807,428,862,1381,14,0,0,40,253
43,25,117037,2324,807,1239,862,850,14,0,2042,40,253
59,25,109015,820,1932,80,837,850,521,0,0,40,253
56,1539,216851,668,807,80,862,850,14,0,0,40,253
19,25,168294,820,381,734,846,850,14,0,0,40,253
54,597,180211,2361,807,63,862,338,14,0,0,60,806
39,25,367260,820,1932,445,508,850,14,0,0,80,253
49,25,193366,820,807,734,862,850,14,0,0,40,253
23,1539,190709,1915,381,632,508,850,14,0,0,52,253
20,25,266015,2361,381,636,846,1381,14,0,0,44,253
45,25,386940,668,1932,445,846,850,14,0,1408,40,253
30,625,59951,2361,807,1341,846,850,14,0,0,40,253
22,434,311512,2361,807,340,862,1381,14,0,0,15,253
48,25,242406,2324,381,393,837,850,14,0,0,40,263
21,25,197200,2361,381,393,846,850,14,0,0,40,253
19,25,544091,820,472,1341,484,850,521,0,0,25,253
31,25,84154,2361,807,636,862,850,14,0,0,38,2334
48,575,265477,1915,807,31,862,850,14,0,0,40,253
31,25,507875,539,807,393,862,850,14,0,0,43,253
53,575,88506,668,807,31,862,850,14,0,0,40,253
24,25,172987,668,807,80,862,850,14,0,0,50,253
49,25,94638,820,1597,1341,837,850,521,0,0,40,253
