Id,PostTypeId,CreationDate,Score,ViewCount,OwnerUserId,AnswerCount,CommentCount,FavoriteCount,LastEditorUserId
1,1,69132,23,1278.0,8.0,5.0,1,14.0,
2,1,69177,22,8198.0,24.0,7.0,1,8.0,88.0
3,1,69208,54,3613.0,18.0,19.0,4,36.0,183.0
4,1,69211,13,5224.0,23.0,5.0,2,2.0,
5,2,69283,81,,23.0,,3,,23.0
6,1,69284,152,29229.0,5.0,15.0,5,137.0,22047.0
7,1,69359,76,5808.0,38.0,24.0,3,79.0,253.0
8,1,69381,0,288.0,37.0,1.0,2,,449.0
9,2,69387,13,,50.0,,3,,
10,1,69467,23,21925.0,24.0,4.0,4,12.0,919.0
11,1,69510,2,224.0,34.0,1.0,2,1.0,34.0
12,2,69521,20,,5.0,,1,,
13,2,69536,14,,23.0,,4,,
14,2,69543,5,,36.0,,1,,
15,2,69586,13,,6.0,,0,,
16,2,69751,16,,8.0,,3,,8.0
17,1,69852,9,1261.0,,1.0,0,1.0,7972.0
18,2,69858,31,,36.0,,1,,
19,2,69861,12,,55.0,,0,,
20,2,69875,3,,37.0,,2,,
21,1,69876,4,184.0,59.0,1.0,1,1.0,930.0
22,1,69939,102,21916.0,66.0,15.0,1,67.0,930.0
23,1,69964,10,7694.0,69.0,2.0,1,2.0,
24,2,69973,17,,61.0,,0,,
25,1,70033,7,2095.0,69.0,7.0,4,5.0,69.0
26,1,70063,18,3476.0,75.0,8.0,14,7.0,22047.0
27,2,70092,4,,68.0,,0,,
28,2,70092,6,,,,0,,
29,2,70095,5,,36.0,,0,,
30,1,70114,7,705.0,69.0,8.0,2,7.0,919.0
31,1,70124,66,175495.0,13.0,10.0,3,56.0,919.0
32,2,70146,12,,5.0,,0,,
33,1,70203,5,1428.0,69.0,3.0,1,5.0,88.0
34,2,70207,3,,79.0,,0,,
35,1,70230,10,1223.0,54.0,2.0,0,4.0,54.0
36,1,70307,41,67396.0,8.0,27.0,7,21.0,43889.0
38,2,70348,2,,61.0,,2,,
39,1,70349,4,210.0,59.0,1.0,0,1.0,190.0
40,1,70367,8,491.0,69.0,4.0,1,2.0,919.0
41,2,70393,8,,83.0,,0,,
42,2,70399,12,,80.0,,3,,
43,2,70417,7,,74.0,,5,,74.0
44,1,70482,8,453.0,68.0,5.0,1,5.0,12786.0
45,2,70484,5,,55.0,,1,,
46,2,70504,0,,62.0,,2,,62.0
47,1,70572,7,312.0,22.0,4.0,2,3.0,8.0
48,2,70580,3,,36.0,,4,,
49,2,70612,6,,5.0,,0,,
50,1,70651,18,2414.0,62.0,7.0,4,9.0,919.0
51,1,70675,1,120.0,68.0,1.0,0,1.0,
52,2,70746,7,,36.0,,0,,
53,1,70748,40,25962.0,17.0,4.0,4,20.0,6029.0
54,1,70879,11,497.0,55.0,5.0,5,2.0,919.0
55,2,70899,7,,56.0,,0,,56.0
56,2,70948,56,,,,7,,
57,2,70954,2,,69.0,,4,,69.0
58,1,70977,10,1667.0,68.0,3.0,0,1.0,3911.0
59,2,71000,24,,39.0,,1,,805.0
60,2,71000,1,,41.0,,1,,
61,2,71075,22,,74.0,,5,,74.0
62,1,71098,4,124.0,58.0,2.0,0,,58.0
63,2,71119,25,,87.0,,2,,
64,2,71168,6,,5.0,,0,,5.0
65,2,71171,14,,8.0,,3,,8.0
66,2,71171,5,,41.0,,0,,
67,2,71236,2,,36.0,,0,,
69,2,71269,3,,56.0,,0,,
70,2,71325,15,,22.0,,1,,22.0
71,2,71433,2,,36.0,,0,,
72,2,71465,6,,96.0,,0,,
73,1,71492,24,5717.0,22.0,24.0,5,26.0,88.0
74,2,71494,25,,88.0,,0,,
75,1,71551,5,754.0,69.0,5.0,4,7.0,
76,2,71569,22,,5.0,,3,,
77,2,71643,16,,74.0,,7,,74.0
78,2,71678,33,,8.0,,4,,8.0
79,2,71764,4,,25.0,,1,,
80,2,71803,8,,93.0,,2,,
81,2,71936,7,,69.0,,0,,
83,2,72171,2,,5.0,,0,,
84,2,72214,6,,41.0,,0,,
85,2,72480,15,,87.0,,2,,87.0
86,2,72517,8,,13.0,,5,,13.0
89,2,72707,5,,55.0,,0,,
90,2,72744,3,,22.0,,0,,
91,2,72954,10,,87.0,,0,,87.0
93,1,73027,5,412.0,61.0,1.0,3,3.0,88.0
94,2,73104,5,,88.0,,0,,
95,1,73295,5,446.0,57.0,2.0,0,2.0,154.0
96,2,73364,4,,5.0,,0,,
97,1,73402,35,14608.0,114.0,8.0,1,14.0,88.0
98,2,73437,10,,39.0,,0,,39.0
99,2,73508,7,,88.0,,1,,
100,1,73823,4,3918.0,117.0,2.0,0,1.0,
101,2,73928,40,,,,6,,
102,2,73934,1,,22.0,,0,,22.0
103,1,74006,28,1990.0,5.0,16.0,6,37.0,88.0
104,2,74086,16,,74.0,,0,,
105,2,74134,19,,46.0,,1,,615.0
107,2,74161,11,,46.0,,0,,615.0
108,2,74207,14,,5.0,,1,,615.0
109,1,74241,2,3980.0,25.0,1.0,2,1.0,
110,2,74436,3,,61.0,,2,,
111,2,74484,8,,8.0,,3,,
112,2,75147,2,,12.0,,0,,615.0
113,1,75263,9,413.0,39.0,1.0,5,6.0,39.0
114,1,75653,30,1220.0,8.0,13.0,1,22.0,32036.0
115,2,75695,1,,127.0,,0,,615.0
116,2,75856,12,,72.0,,4,,
117,2,75864,25,,36.0,,1,,36.0
118,1,75879,122,39118.0,83.0,19.0,11,69.0,88.0
119,2,76304,6,,88.0,,3,,88.0
120,2,76447,39,,41.0,,4,,
121,2,76465,71,,61.0,,6,,
123,2,76520,13,,130.0,,0,,
124,1,76650,23,1131.0,131.0,7.0,0,22.0,88.0
125,1,76692,75,29261.0,5.0,26.0,2,78.0,88.0
126,2,76783,26,,5.0,,4,,
127,2,77000,18,,61.0,,2,,
128,1,77037,3,12626.0,132.0,1.0,0,4.0,88.0
129,2,77098,4,,8.0,,0,,8.0
130,1,77187,30,7111.0,90.0,3.0,10,12.0,88.0
131,2,77321,23,,5.0,,0,,5.0
132,2,77377,6,,22.0,,0,,
133,2,77513,0,,139.0,,2,,
134,1,77558,10,4572.0,138.0,8.0,6,7.0,8.0
135,2,77772,7,,39.0,,3,,39.0
137,2,77889,15,,74.0,,2,,74.0
138,1,77890,67,14326.0,142.0,21.0,4,111.0,142.0
139,2,77957,21,,5.0,,2,,
140,2,77975,7,,88.0,,0,,
141,2,78002,2,,142.0,,0,,615.0
142,2,78177,5,,8.0,,0,,
143,2,78508,5,,88.0,,2,,
144,2,78532,17,,22.0,,0,,22.0
145,1,78616,4,2287.0,138.0,5.0,4,2.0,442.0
146,1,78771,12,4419.0,144.0,6.0,3,6.0,919.0
147,2,78782,4,,142.0,,0,,
148,2,79131,4,,130.0,,0,,
149,2,79330,8,,74.0,,0,,74.0
150,2,80009,3,,25.0,,1,,
151,2,81072,60,,81.0,,4,,81.0
152,1,81458,9,1008.0,,2.0,2,1.0,919.0
153,2,81567,6,,145.0,,1,,
154,2,81647,20,,108.0,,3,,108.0
155,1,81830,27,3293.0,154.0,10.0,2,17.0,8489.0
156,1,82213,2,233.0,148.0,1.0,0,1.0,10515.0
157,2,82342,7,,36.0,,3,,
159,2,82830,8,,145.0,,0,,
160,2,83203,1,,158.0,,0,,615.0
161,1,83496,9,2304.0,154.0,2.0,0,2.0,159.0
162,2,83612,14,,74.0,,4,,74.0
163,2,83873,5,,81.0,,6,,81.0
164,2,83984,2,,158.0,,0,,
165,1,84065,56,22890.0,74.0,8.0,3,47.0,2910.0
166,1,84095,10,12304.0,154.0,3.0,0,5.0,442.0
167,2,84391,10,,159.0,,4,,
168,1,84404,17,1022.0,8.0,2.0,1,6.0,8.0
169,2,84456,2,,159.0,,0,,
170,1,84594,56,7733.0,8.0,19.0,1,75.0,69.0
171,2,84750,8,,159.0,,0,,
172,2,84858,10,,74.0,,1,,74.0
173,1,85042,15,2519.0,71.0,9.0,0,11.0,71.0
174,2,85063,35,,159.0,,0,,159.0
175,1,85189,29,28291.0,13.0,8.0,1,24.0,159.0
176,2,85201,18,,81.0,,2,,81.0
177,2,85544,22,,159.0,,2,,159.0
178,2,85730,9,,74.0,,0,,74.0
179,2,86369,12,,159.0,,0,,
180,2,86780,4,,90.0,,0,,
181,1,87302,50,39097.0,159.0,4.0,0,44.0,28988.0
182,2,87347,16,,74.0,,0,,74.0
183,1,87651,3,753.0,166.0,4.0,1,,
184,2,87718,6,,159.0,,0,,
185,2,88200,10,,80.0,,2,,
187,2,89265,3,,119.0,,0,,
188,2,89533,21,,61.0,,4,,
189,2,89974,4,,173.0,,2,,
190,2,90458,7,,25.0,,0,,
191,2,91037,3,,173.0,,0,,
192,1,91091,3,1597.0,1356.0,4.0,1,4.0,930.0
193,2,92712,6,,,,0,,7290.0
194,1,92856,6,838.0,175.0,3.0,2,3.0,
195,1,93665,5,506.0,173.0,3.0,0,3.0,
196,1,94644,19,4090.0,87.0,6.0,2,12.0,9007.0
197,2,95078,9,,5.0,,1,,5.0
198,2,95563,3,,61.0,,0,,183.0
199,2,95573,4,,5.0,,0,,
200,2,96525,13,,174.0,,3,,174.0
201,2,97896,8,,183.0,,0,,
202,2,98002,11,,183.0,,0,,183.0
203,1,99105,16,6033.0,183.0,5.0,2,2.0,930.0
204,2,99358,7,,183.0,,2,,183.0
205,1,100284,12,543.0,187.0,2.0,0,2.0,159.0
206,1,100434,13,70255.0,188.0,8.0,1,4.0,183.0
207,2,100814,48,,,,0,,
208,2,101231,4,,74.0,,1,,
209,2,101812,19,,174.0,,4,,174.0
210,2,101952,9,,183.0,,3,,183.0
211,2,103747,6,,187.0,,0,,
212,1,104060,3,430.0,190.0,3.0,0,,190.0
213,1,104553,51,9772.0,159.0,13.0,3,42.0,159.0
214,2,104562,4,,40.0,,0,,
215,2,104592,1,,187.0,,2,,
216,1,104680,9,483.0,191.0,3.0,0,7.0,
217,2,105008,6,,5.0,,4,,5.0
218,2,105201,2,,187.0,,0,,
219,2,105674,3,,154.0,,3,,154.0
220,1,105784,14,9481.0,85.0,3.0,2,6.0,3911.0
221,2,106548,15,,159.0,,2,,159.0
222,1,106666,26,36801.0,191.0,7.0,1,22.0,88.0
223,1,107655,5,291.0,79.0,3.0,5,5.0,4872.0
224,1,108239,8,1418.0,128.0,10.0,3,13.0,183.0
225,1,108457,7,617.0,196.0,4.0,2,,196.0
226,2,109401,12,,173.0,,2,,
227,2,109472,2,,144.0,,1,,159.0
228,2,109636,2,,10.0,,0,,
229,2,109727,10,,159.0,,2,,4856.0
230,2,110121,5,,173.0,,0,,
231,2,110473,4,,199.0,,2,,
232,2,110485,12,,103.0,,2,,103.0
234,2,110834,5,,198.0,,1,,
235,2,112678,4,,13.0,,0,,13.0
236,2,113434,0,,138.0,,0,,138.0
237,2,113468,1,,199.0,,0,,8.0
238,2,113589,8,,138.0,,0,,
240,2,114930,4,,114.0,,1,,
241,2,114966,5,,196.0,,1,,
242,1,114976,12,470.0,199.0,2.0,5,3.0,5.0
243,2,115504,7,,196.0,,0,,196.0
244,2,116011,17,,13.0,,4,,13.0
245,2,116436,0,,196.0,,0,,
246,2,116932,6,,198.0,,0,,
247,2,117396,2,,171.0,,1,,
248,2,117518,4,,211.0,,0,,
249,1,118153,4,454.0,213.0,1.0,1,,17230.0
250,2,118395,5,,171.0,,5,,171.0
252,2,119609,5,,81.0,,3,,81.0
253,2,120365,7,,215.0,,0,,215.0
254,2,120618,4,,8.0,,3,,8.0
255,2,120651,8,,88.0,,1,,
256,1,120862,14,1422.0,217.0,3.0,0,7.0,7290.0
257,1,121124,14,6700.0,217.0,7.0,1,9.0,159.0
258,1,121403,14,780.0,217.0,10.0,0,10.0,88.0
259,2,121451,12,,217.0,,5,,
260,2,121506,12,,217.0,,1,,
261,2,121518,12,,159.0,,4,,
262,2,121845,13,,8.0,,7,,8.0
263,2,121991,8,,190.0,,6,,190.0
264,2,122340,5,,217.0,,0,,
265,2,122748,14,,88.0,,0,,88.0
266,2,123836,3,,128.0,,0,,
267,1,124555,7,4254.0,194.0,2.0,1,1.0,
268,2,126066,3,,107.0,,1,,
269,1,126462,11,53644.0,62.0,4.0,0,5.0,88.0
270,1,126527,12,1291.0,90.0,5.0,0,4.0,8.0
271,2,126642,7,,8.0,,0,,805.0
272,2,126881,2,,216.0,,0,,
273,2,127081,1,,216.0,,0,,
274,2,127319,10,,90.0,,3,,
275,2,127793,5,,88.0,,0,,88.0
276,1,128605,8,1517.0,90.0,4.0,0,,
277,1,128942,12,3033.0,215.0,2.0,0,4.0,88.0
278,1,128967,6,120.0,221.0,3.0,1,1.0,88.0
279,2,129255,9,,62.0,,0,,
280,2,129290,4,,221.0,,0,,
281,2,129596,2,,215.0,,0,,919.0
282,2,129746,23,,81.0,,3,,29367.0
283,1,130148,22,13685.0,215.0,5.0,0,6.0,
284,2,131130,1,,215.0,,1,,
285,2,131199,1,,183.0,,1,,
286,2,131312,12,,211.0,,0,,
287,1,131357,7,1068.0,90.0,1.0,1,3.0,5739.0
