Id,CreationDate,PostId,RelatedPostId,LinkTypeId
108,226053,395,173,1
145,405041,548,539,1
217,677535,375,30,1
263,748822,769,31,1
264,748822,769,6,1
272,753567,790,298,1
281,775371,715,7,1
338,848169,834,577,1
360,932482,614,170,1
478,1166914,222,213,1
479,1166914,222,146,1
558,1423267,886,6,1
559,1423267,886,372,1
583,1439850,1205,856,1
587,1463869,1194,6,1
661,1853386,1289,53,1
668,1860305,1437,1289,1
681,1906031,1385,1268,1
716,2037980,1501,7,1
717,2037980,1501,973,1
726,2041178,1207,1142,1
737,2055427,1536,1052,1
740,2061556,1521,6,1
754,2099399,1413,1583,1
776,2128708,1583,1412,1
781,2139159,1272,47,1
831,2202128,672,22,1
836,2223752,1601,1444,1
837,2223752,1601,1386,1
855,2329631,1580,1149,1
875,2485652,1749,1123,1
880,2525223,396,257,1
895,2582896,1780,124,1
901,2637674,887,841,1
909,2650744,1813,575,1
914,2670576,1454,899,1
939,2917092,1352,1815,1
955,2988439,1955,1645,1
1006,3218551,924,920,1
1068,3339623,2093,1687,1
1069,3339623,2093,1112,1
1073,3394614,2149,1709,1
1082,3408103,2086,1961,1
1083,3408103,2086,539,1
1095,3424550,2154,1228,1
1131,3585891,490,880,1
1134,3604522,2140,1169,1
1135,3611936,2067,2024,1
1140,3678291,354,118,1
1143,3682921,145,7,1
1153,3767010,2171,224,1
1154,3767010,2171,216,1
1156,3777175,2223,1963,1
1169,3843091,1676,73,1
1210,3863729,2282,1676,1
1211,3863729,2282,2269,1
1224,3914037,880,490,1
1283,4275703,2401,2374,1
1307,4301847,2385,1289,1
8809,4400444,2410,1292,1
10783,4430430,2423,414,1
17469,4618127,26,118,1
18942,4650639,652,421,1
22399,4808890,2476,369,1
23659,4871899,2597,183,1
26940,4975983,1223,1142,1
28839,5072008,1799,859,1
28840,5072008,1799,1324,1
29591,5091618,1995,1799,1
30954,5142715,2670,665,1
31174,5149056,1460,1444,1
32441,5180766,1016,577,1
33045,5208034,2742,1812,1
34666,5261452,2602,2516,1
34884,5280221,1761,485,1
35150,5300484,2245,534,1
36817,5390895,2787,276,1
36818,5390895,2787,166,1
36867,5391260,1815,1352,1
36868,5391260,1815,2770,1
38448,5443037,2248,203,1
38449,5443037,2248,10,1
38533,5444997,195,411,1
38800,5458494,2615,2572,1
39025,5469591,2846,2597,1
41963,5563349,2894,1807,1
42256,5572909,2892,2860,1
42257,5572909,2892,2572,1
45213,5687827,2938,2918,1
46450,5752853,485,414,1
46451,5752853,485,1761,1
48587,5860999,3061,3062,1
48709,5868511,2828,1826,1
49737,5977102,1001,411,1
51512,6082066,3091,1995,1
51513,6082066,3091,2628,1
54696,6236073,3100,2966,1
56446,6343233,3167,257,1
56522,6346886,3156,2639,1
59018,6418247,3201,1848,1
59019,6418247,3201,2689,1
59020,6418247,3201,1,1
59021,6418247,3201,2563,1
60212,6477190,3038,305,1
60213,6477190,3038,726,1
60286,6481365,3207,2917,1
60919,6541336,534,36,1
62187,6627504,3276,2957,1
63529,6714183,3286,1001,1
64695,6778006,3270,3287,1
65209,6794867,3338,3286,1
65383,6804528,1904,1906,1
65866,6822577,2291,369,1
66354,6876018,3359,2066,1
66575,6887116,203,10,1
67211,6917603,3238,2777,1
67212,6917603,3238,3331,1
67552,6942458,3244,2956,1
67842,6954047,2910,2768,1
68036,6963678,3369,1576,1
68037,6963678,3369,2742,1
68038,6963678,3369,612,1
68409,6975742,3200,1016,1
68410,6975742,3200,3252,1
68438,6976130,3331,2777,1
68439,6976130,3331,3238,1
68816,6991649,3333,2483,1
69573,7045465,3392,3244,1
69793,7057556,3287,3270,1
70012,7071114,3395,3199,1
70711,7136463,346,3372,1
71072,7153574,134,3372,1
71553,7194470,138,75,1
72473,7241809,2197,1385,1
74418,7379350,3460,1980,1
74639,7390985,3458,2306,1
74640,7390985,3458,2410,1
74930,7401937,1062,1045,1
76682,7482045,3526,1133,1
78440,7549232,1441,1430,1
79545,7585779,3599,3561,1
80174,7625777,3586,359,1
80535,7648060,3549,3561,1
80633,7656078,3589,328,1
80923,7662865,3383,2067,1
81335,7672543,3324,563,1
81650,7678610,1610,22,1
82884,7803982,3542,3158,1
83998,7888671,3661,1015,1
83999,7888671,3661,527,1
85270,7938109,3685,2597,1
86097,7973077,1224,499,1
86853,7992932,973,7,1
86903,7994391,3194,30,1
87342,8002962,3713,3685,1
87463,8005118,499,3200,1
87464,8005118,499,3252,1
87465,8005166,3101,685,1
88210,8021493,3746,213,1
88211,8021493,3746,2493,1
89036,8061284,1015,3661,1
89037,8061284,1015,3539,1
90125,8092278,3752,3556,1
90394,8098446,3762,1015,1
