Id,Reputation,CreationDate,Views,UpVotes,DownVotes
-1,1,24926,0,5007,1920
2,101,50496,25,3,0
3,101,56090,22,19,0
4,101,68607,11,0,0
5,6792,68637,1145,662,5
6,457,68647,114,47,0
7,429,68677,56,20,0
8,6764,68692,1089,604,25
10,121,68740,20,2,0
11,136,68762,10,10,0
12,101,68794,10,5,0
13,817,68809,178,44,1
15,11,68852,8,0,0
16,101,68893,4,7,0
17,345,68908,14,13,1
18,128,68909,8,16,0
19,101,68925,13,2,0
21,101,68936,6,0,0
22,591,68940,90,693,6
23,308,68956,52,34,1
24,344,68972,48,36,1
25,4968,68972,641,328,23
26,3150,68979,257,138,7
27,101,68981,10,2,0
29,2250,68982,318,28,1
30,2185,69015,312,40,3
33,221,69068,11,2,0
34,185,69071,27,23,0
35,101,69098,4,9,0
36,1570,69112,173,26,1
37,156,69116,2,0,0
38,133,69117,15,1,0
39,1651,69119,255,12,0
40,41,69120,8,2,0
41,611,69121,83,12,0
43,101,69140,1,1,1
46,111,69189,350,59,15
47,1,69189,19,0,0
50,101,69289,3,3,0
51,101,69291,0,1,0
52,861,69305,62,12,0
53,138,69317,8,7,0
54,360,69349,18,21,2
55,366,69369,16,48,1
56,563,69414,64,10,0
57,126,69494,7,93,0
58,123,69551,19,3,0
59,402,69566,82,51,0
60,101,69572,8,1,1
61,1956,69589,147,39,4
62,549,69615,90,13,3
64,136,69647,11,4,0
65,101,69650,8,4,0
66,614,69666,102,12,0
67,101,69701,4,0,0
68,503,69711,42,10,0
69,530,69730,174,630,6
71,1936,69858,328,2317,1
72,800,69866,77,58,0
74,2316,69903,1126,74,65
75,321,69959,44,4,0
76,101,69968,3,9,0
77,260,69978,8,36,0
78,123,70011,4,4,0
79,212,70022,10,5,0
80,211,70028,16,7,0
81,1307,70038,80,86,0
82,685,70055,49,68,0
83,804,70107,64,11,0
84,101,70198,3,10,0
85,176,70296,25,3,0
87,740,70485,89,58,2
88,14082,70537,3320,4235,126
89,1281,70555,105,61,4
90,561,70604,287,27,0
91,101,70755,8,0,0
92,31,70949,5,3,0
93,96,70967,3,2,0
94,111,70975,15,6,0
96,441,71005,80,18,0
98,291,71100,24,141,1
99,151,71141,42,3,0
101,502,71300,49,109,0
102,101,71301,5,4,0
103,261,71538,34,41,1
104,146,71552,26,23,0
105,101,71599,0,0,0
107,160,71791,14,20,3
108,305,72138,171,4,0
110,443,72558,59,9,1
111,101,72659,2,1,0
112,101,72676,0,0,0
113,101,72708,0,0,0
114,708,72874,61,44,1
115,101,72983,8,0,0
116,101,72987,2,9,0
117,123,73025,4,1,0
118,473,73032,60,46,0
119,139,73215,12,0,0
120,101,73295,3,1,0
121,101,73427,4,3,0
122,101,74330,8,0,0
123,101,74482,56,21,0
124,121,74838,8,8,0
125,391,74945,31,0,0
126,101,74948,1,0,0
127,236,75120,46,29,1
128,166,75407,19,22,0
129,101,75846,8,9,0
130,241,75890,24,2,0
131,216,76037,14,6,0
132,33,76357,8,2,0
133,116,76637,6,2,1
134,101,76848,0,1,1
135,101,76971,1,2,0
138,231,77343,24,20,0
139,758,77369,241,41,0
140,1,77630,4,4,0
141,101,77687,0,0,0
142,185,77797,19,10,0
143,101,78105,1,0,0
144,1396,78206,269,477,1
145,99,78692,8,4,0
147,101,78938,1,0,0
148,228,78951,11,12,0
151,101,80529,9,0,0
152,101,80714,1,0,0
153,101,81202,3,0,0
154,321,81497,23,6,0
155,101,81860,1,2,0
156,101,81952,0,0,0
158,111,83029,2,15,0
159,18283,83139,3781,1014,59
160,101,83557,2,0,0
161,101,83863,1,8,0
162,101,84274,2,1,0
163,276,84307,12,1,0
164,101,85413,3,2,0
165,36,85556,2,1,0
166,118,87391,3,7,0
167,101,87555,21,0,0
168,147,88018,61,8,1
169,113,88053,19,5,0
170,208,88457,52,48,1
171,171,88539,9,0,0
172,564,89134,113,15,0
173,453,89422,39,15,0
174,792,90547,78,163,4
175,236,90890,46,53,0
176,101,90964,0,0,0
177,101,91649,0,0,0
178,11,92395,2,8,0
179,1416,92867,147,352,10
180,101,94302,0,0,0
181,101,96481,6,60,0
183,22625,96994,4069,2496,45
